wavenumber,wavenumber_adjusted,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty
618.753,620.632145840736,3.46533,2.35467,2.304,2.27867,2.11067,2.14133,2.08533,2.08667,2.01067,2.104,2.13067,3.45733,5.096,16.62,16.2747,15.224,15.04,14.4333,14.5973,15.5293
619.321,621.200145840736,3.47067,2.40933,2.28133,2.27067,2.10267,2.124,2.03867,2.08133,2.06667,2.13067,2.18667,3.54133,5.07333,16.8467,16.416,15.3253,15.4387,14.164,14.7907,15.868
619.888,621.767145840736,3.46267,2.41333,2.36533,2.18533,2.12933,2.14667,2.08533,2.04,2.07867,2.11733,2.15067,3.49867,5.16667,16.5613,16.524,15.544,15.3853,14.2667,14.9347,15.7
620.456,622.335145840736,3.45467,2.4,2.28667,2.184,2.17867,2.212,2.124,2.124,2.07467,2.10533,2.27333,3.452,5.01733,16.896,16.748,15.4093,15.3373,14.2867,14.932,15.7547
621.024,622.903145840736,3.508,2.32,2.29467,2.14667,2.092,2.168,2.11467,2.01733,2.116,2.084,2.172,3.62133,5.08667,16.9547,16.5187,15.512,15.3387,14.3733,14.9,15.652
621.592,623.471145840736,3.432,2.344,2.24533,2.12133,2.17333,2.112,2.09467,2.12667,2.092,1.96267,2.21867,3.584,4.90533,16.728,16.4893,15.5893,15.0787,14.2227,14.6867,15.568
622.16,624.039145840736,3.432,2.38267,2.316,2.324,2.15467,2.10533,2.01067,2.196,2.15467,2.124,2.17867,3.40667,5.13867,16.824,16.5907,15.8627,15.2947,14.4267,14.816,15.5347
622.727,624.606145840736,3.48667,2.36933,2.336,2.12267,2.164,2.06667,2.09733,2.16,2.13333,2.108,2.23867,3.53333,5.06667,16.9173,16.148,15.3333,15.4547,14.4347,14.7827,15.38
623.295,625.174145840736,3.452,2.44,2.26533,2.22667,2.228,2.072,2.13067,2.16267,2.088,2.08533,2.256,3.484,4.96667,16.66,16.424,15.2853,15.104,14.3653,14.6587,15.2653
623.861,625.740145840736,3.50133,2.43467,2.392,2.21333,2.212,2.10667,2.11867,2.08533,2.10667,2.14,2.268,3.49067,5.06533,16.4507,16.052,15.0613,14.96,14.1027,14.4107,15.1493
624.428,626.307145840736,3.356,2.416,2.33867,2.20267,2.22533,2.18933,2.18267,2.10533,2.03467,2.128,2.21867,3.48933,5.05067,16.4333,15.7933,14.9387,14.876,14.064,14.5253,15.1147
624.996,626.875145840736,3.42533,2.33333,2.39067,2.23867,2.16133,2.136,2.13867,2.092,2.03867,2.05067,2.15733,3.54,5.01333,16.276,15.6453,14.824,14.604,13.4853,14.112,14.668
625.563,627.442145840736,3.45333,2.37867,2.388,2.25467,2.16533,2.16533,2.04267,2.128,2.10933,2.20933,2.256,3.41467,4.94667,16.0307,15.7173,14.3013,14.3453,13.6013,14.0613,14.7493
626.131,628.010145840736,3.48667,2.31467,2.348,2.24533,2.19733,2.10133,2.196,2.164,2.04533,2.116,2.292,3.66,4.95333,15.9467,15.3773,14.4027,14.5,13.34,13.776,14.44
626.698,628.577145840736,3.48667,2.46533,2.43733,2.3,2.06267,2.07333,2.124,2.144,2.08267,2.02933,2.248,3.54933,5.08533,15.6427,14.98,14.1213,14.3213,13.2827,13.724,14.1827
627.266,629.145145840736,3.40533,2.38267,2.184,2.18933,2.08533,2.116,2.11467,2.17067,2.13333,2.15333,2.26267,3.472,4.99733,15.616,14.8573,14.2293,13.88,13.2587,13.496,14.1853
627.831,629.710145840736,3.51067,2.448,2.35067,2.184,2.132,2.14533,2.15467,2.148,2.056,2.164,2.284,3.57867,4.98667,15.332,14.9187,13.9453,13.8733,13.2253,13.46,13.892
628.398,630.277145840736,3.668,2.48133,2.33867,2.21333,2.176,2.21067,2.108,1.91333,2.05733,2.11467,2.22533,3.67467,5.07067,15.136,14.6093,13.6653,13.3187,12.66,13.424,13.6667
628.966,630.845145840736,3.44667,2.32667,2.33467,2.26,2.20133,2.168,2.08133,2.14667,2.10133,2.17733,2.248,3.50133,5.08533,15.0187,14.4773,13.6173,13.4467,12.8613,12.948,13.7693
629.533,631.412145840736,3.45467,2.32133,2.34533,2.19467,2.09067,2.124,2.128,2.05867,2.13067,2.10667,2.216,3.364,4.95733,14.5267,13.9587,13.3013,13.212,12.9147,12.916,13.4733
630.1,631.979145840736,3.55467,2.42133,2.31867,2.22933,2.11867,2.14,2.068,2.156,2.05867,2.09867,2.188,3.48133,5.01333,14.5933,13.9373,13.2293,13.016,12.8467,12.68,13.38
630.665,632.544145840736,3.47867,2.46133,2.364,2.19867,2.224,2.21333,2.14,2.124,2.13733,2.13733,2.24133,3.43467,5.07867,14.4147,13.5867,12.9373,12.9507,11.9227,12.32,13.036
631.232,633.111145840736,3.46,2.368,2.34133,2.224,2.208,2.164,2.14133,2.04,2.12667,2.112,2.16667,3.44667,5.02667,14.416,13.5693,12.828,12.7467,12.108,12.512,12.8667
631.8,633.679145840736,3.52533,2.45333,2.376,2.212,2.244,2.13733,2.00667,2.16133,2.124,2.14,2.27867,3.46267,5.13467,14.3973,13.604,12.624,12.7493,11.884,12.512,13.0467
632.367,634.246145840736,3.54533,2.35467,2.27467,2.17333,2.156,2.108,2.14133,2.14,2.096,2.07467,2.23867,3.37333,5.04933,14.2387,13.6133,12.496,12.5293,12.0453,12.44,12.6373
632.932,634.811145840736,3.51467,2.36,2.33733,2.148,2.15467,2.14667,2.088,2.14267,2.19067,2.088,2.144,3.59067,4.98267,14.1213,13.5493,12.5893,12.508,12.076,12.3307,12.9587
633.499,635.378145840736,3.42267,2.32667,2.308,2.24533,2.19733,2.152,2.15067,2.10667,2.128,2.03333,2.15867,3.524,5.02933,14.2547,13.6147,12.7573,12.504,11.8093,12.208,12.7587
634.066,635.945145840736,3.51733,2.352,2.368,2.212,2.072,2.17333,2.148,2.09333,2.01867,2.12667,2.29067,3.55867,5.02267,13.8653,13.5387,12.592,12.6627,11.836,12.2667,12.8067
634.631,636.510145840736,3.50133,2.39733,2.324,2.20933,2.18,2.05867,2.07467,2.00133,2.09067,2.04533,2.156,3.48,5.016,13.86,13.4293,12.7387,12.4933,11.828,12.3,12.476
635.198,637.077145840736,3.44667,2.36133,2.248,2.19467,2.16,2.168,2.124,2.13467,2.13733,2.072,2.24533,3.41067,5.00667,14.156,13.3613,12.3493,12.624,11.9867,12.22,12.6173
635.764,637.643145840736,3.492,2.27867,2.33333,2.228,2.1,2.08933,2.028,2.05733,2.09333,2,2.22667,3.35733,4.92933,13.8653,13.1173,12.496,12.4547,11.6813,11.9627,12.4933
636.329,638.208145840736,3.36933,2.31733,2.336,2.18133,2.09067,2.09867,2.07067,2.09733,2.04267,2.124,2.14667,3.48933,4.988,13.8813,13.1333,12.42,12.3347,11.7227,12.0587,12.5307
636.896,638.775145840736,3.43067,2.31733,2.37867,2.168,2.11067,2.056,2.06,2.088,2.10933,2.048,2.152,3.38267,4.98667,13.7867,13.2533,12.4893,12.3893,11.7907,12.268,12.3787
637.463,639.342145840736,3.48533,2.35067,2.29733,2.21733,2.10267,2.08933,2.05333,2.084,2.07067,2.06933,2.16267,3.41333,4.84133,13.9133,13.1547,12.3627,12.3533,11.8227,12.132,12.4707
638.028,639.907145840736,3.38533,2.43333,2.27733,2.152,2.216,2.056,2.07733,2.11733,2.12933,2.02533,2.18533,3.54933,5.05333,13.9507,13.2693,12.5147,12.4733,12.1267,11.8267,12.9107
